,0,1,2,3
39,famous,"знаменитый, известный, прославленный",[ˈfeɪməs],[ˈfeɪməs]
40,counterfeit,подделка,[ˈkaʊn.tə.fɪt],[-t̬ɚ-]
41,relatively,относительно,[ˈrelətɪvli],[ˈrelətɪvli]
42,tentative,"пробный, экспериментальный, неуверенный, предварительный",[ˈten.tə.tɪv],[-t̬ə.ɪv]
43,ledge,выступ,[ledʒ],[ledʒ]
44,swamp,болото,[swɒmp],[swɑːmp]
45,recognition,"признание, распознавание, опознавание",[ˌrekəɡˈnɪʃn],[ˌrekəɡˈnɪʃn]
46,phase,фаза,[feɪz],[feɪz]
47,ram,баран,[ræm],[ræm]
48,careful,"осторожный, внимательный, заботливый",[ˈkeəfl],[ˈkerfl]
49,anchor,"якорь, анкер, якорь спасения",[ˈæŋ.kər],[-kɚ]
50,lack,недостаток,[læk],[læk]
51,carbon,"углерод, уголь, графит",[ˈkɑː.bən],[ˈkɑːr-]
52,sigh,"вздох, вздыхать, охать",[saɪ],[saɪ]
53,faith,"вера, доверие, религия",[feɪθ],[feɪθ]
54,hail,град,[heɪl],[heɪl]
55,while,в то время как,[waɪl],[waɪl]
56,hug,объятие,[hʌɡ],[hʌɡ]
57,cater,"угождать, поставлять, потворствовать, обслужить",[ˈkeɪ.tər],[-t̬ɚ]
58,talk,говорить,[tɔːk],[tɔːk]
59,intercept,"перехват, отрезок прямой, перехватить",[ˌɪn.təˈsept],[-tɚ-]
60,darkness,"темнота, мрак, темень, тьма",[ˈdɑːknɪs],[ˈdɑːknɪs]
61,dodge,увернуться,[dɒdʒ],[dɑːdʒ]
62,right,правильно,[raɪt],[raɪt]
63,dub,"дублировать, ровнять, пригонять",[dʌb],[dʌb]
64,floor,этаж,[flɔː(r)],[flɔːr]
65,below,"ниже, внизу, в дальнейшем",[bɪˈləʊ],[bɪˈloʊ]
66,quite,вполне,[kwaɪt],[kwaɪt]
67,cheek,щека,[tʃiːk],[tʃiːk]
68,respond,реагировать,[rɪˈspɒnd],[rɪˈspɑːnd]
69,sparkle,сверкать,[ˈspɑː.kl̩],[ˈspɑːr-]
70,fellow,"парень, человек, товарищ",[ˈfeləʊ],[ˈfeloʊ]
71,majesty,величество,[ˈmædʒ.ə.sti],[ˈmædʒ.ə.sti]
72,excel,"превосходить, выделяться, изощряться",[ɪkˈsel],[ɪkˈsel]
73,diverse,разнообразный,[daɪˈvɜːs],[dɪˈvɝːs]
74,jealous,ревнивый,[ˈdʒeləs],[ˈdʒeləs]
75,singular,единственное число,[ˈsɪŋ.ɡjʊ.lər],[-lɚ]
76,expel,изгнать,[ɪkˈspel],[ɪkˈspel]
77,dramatically,"драматично, ярко, театрально, резко",[drəˈmæt.ɪ.kəl.i],[-ˈmæt̬-]
78,keep,хранить,[kiːp],[kiːp]
79,fugitive,беглец,[ˈfjuː.dʒɪ.tɪv],[-t̬ɪv]
80,lord,"господин, лорд, владыка",[lɔːd],[lɔːrd]
81,replace,заменить,[rɪˈpleɪs],[rɪˈpleɪs]
82,combine,комбинировать,[kəmˈbaɪn],[kəmˈbaɪn]
83,refresh,обновить,[rɪˈfreʃ],[rɪˈfreʃ]
84,current,"ток, поток, течение, текущий",[ˈkʌrənt],[ˈkɜːrənt]
85,wrong,неправильно,[rɒŋ],[rɔːŋ]
86,prayer,"молитва, молебен, просьба",[preə(r)],[prer]
87,important,"важный, значительный, существенный",[ɪmˈpɔːtnt],[ɪmˈpɔːrtnt]
88,powder,"порошок, пудра, порох",[ˈpaʊdə(r)],[ˈpaʊdər]
89,excellent,превосходно,[ˈeksələnt],[ˈeksələnt]
90,stretch,"растягиваться, простираться, растягивать, протяжение",[stretʃ],[stretʃ]
91,frayed,"поношенный, потертый",[freɪd],[freɪd]
92,athlete,"спортсмен, атлет, легкоатлет",[ˈæθ.liːt],[ˈæθ.liːt]
93,less,"меньше, менее, в меньшей степени, Меньше",[les],[les]
94,roughly,"приблизительно, грубо, бурно, примерно",[ˈrʌfli],[ˈrʌfli]
95,advance,"продвижение, наступление, аванс",[ədˈvɑːns],[ədˈvæns]
96,veer,"травить, менять курс, изменять, повернуть",[vɪər],[vɪr]
97,portray,"изобразить, изображать, описывать",[pɔːˈtreɪ],[pɔːr-]
98,inherent,присущий,[ɪnˈher.ənt],[-ˈhɪə.rənt]
99,tongue,язык,[tʌŋ],[tʌŋ]
100,thrust,толчок,[θrʌst],[θrʌst]
101,wife,жена,[waɪf],[waɪf]
102,ourselves,"себя, сами, себе, мы сами",[ɑːˈselvz],[ɑːrˈselvz]
103,crack,трещина,[kræk],[kræk]
104,hero,герой,[ˈhɪərəʊ],[ˈhɪroʊ]
105,thanks,благодаря,[θæŋks],[θæŋks]
106,cavity,"полость, впадина, каверна",[ˈkæv.ɪ.ti],[-ə.t̬i]
107,explosion,"взрыв, вспышка, быстрый рост",[ɪkˈspləʊʒn],[ɪkˈsploʊʒn]
108,aftermath,последствия,[ˈɑːf.tə.mæθ],[-mɑːθ]
109,fifteen,"пятнадцать, команда игроков в регби",[ˌfɪfˈtiːn],[ˌfɪfˈtiːn]
110,boat,лодка,[bəʊt],[boʊt]
111,peg,привязь,[peɡ],[peɡ]
112,father,отец,[ˈfɑːðə(r)],[ˈfɑːðər]
113,election,выборы,[ɪˈlekʃn],[ɪˈlekʃn]
114,respondent,"ответчик, отвечающий, реагирующий",[rɪˈspɒn.dənt],[-ˈspɑːn-]
115,psychology,психология,[saɪˈkɒl.ə.dʒi],[-ˈkɑː.lə-]
116,succession,"последовательность, преемственность, право наследования",[səkˈseʃ.ən],[səkˈseʃ.ən]
117,second,второй,[ˈsekənd],[ˈsekənd]
118,consult,консультироваться,[kənˈsʌlt],[kənˈsʌlt]
119,sneeze,чихать,[sniːz],[sniːz]
120,fireplace,"камин, очаг, кузнечный горн",[ˈfaɪə.pleɪs],[ˈfaɪr-]
121,lament,"оплакивать, сетовать, плакать",[ləˈment],[ləˈment]
122,puppet,"кукольный, марионеточный, марионетка",[ˈpʌp.ɪt],[ˈpʌp.ɪt]
123,peaceful,мирный,[ˈpiːsfl],[ˈpiːsfl]
124,act,"действовать, поступать, вести себя",[ækt],[ækt]
125,agree,дать согласие,[əˈɡriː],[əˈɡriː]
126,allege,"утверждать, ссылаться, приписывать",[əˈledʒ],[əˈledʒ]
127,simulate,моделировать,[ˈsɪm.jʊ.leɪt],[ˈsɪm.jʊ.leɪt]
128,defeat,поражение,[dɪˈfiːt],[dɪˈfiːt]
129,crude,сырой,[kruːd],[kruːd]
130,lunar,лунный,[ˈluː.nər],[-nɚ]
131,hand,"рука, стрелка, ладонь",[hænd],[hænd]
132,speech,речь,[spiːtʃ],[spiːtʃ]
133,garment,одежда,[ˈɡɑː.mənt],[ˈɡɑːr-]
134,dual,"двойной, двойственный, состоящий из двух частей",[ˈdjuː.əl],[ˈduː.əl]
135,mosque,мечеть,[mɒsk],[mɑːsk]
136,birthday,день рождения,[ˈbɜːθdeɪ],[ˈbɜːrθdeɪ]
137,slow,медленный,[sləʊ],[sloʊ]
138,coherent,последовательный,[kəʊˈhɪə.rənt],[koʊˈhɪr.ənt]
139,perk,привилегия,[pɜːk],[pɝːk]
140,clause,"пункт, оговорка, предложение",[klɔːz],[klɑːz]
141,familiar,"привычный, близкий, хорошо знакомый, знакомый",[fəˈmɪliə(r)],[fəˈmɪliər]
142,hustle,"сутолока, толкотня, энергия, суета",[ˈhʌs.l̩],[ˈhʌs.l̩]
143,awe,трепет,[ɔː],[ɑː]
144,lust,похоть,[lʌst],[lʌst]
145,constellation,созвездие,[ˌkɒn.stəˈleɪ.ʃən],[ˌkɑːn-]
146,coax,"уговаривать, задобрить, упрашивать",[kəʊks],[koʊks]
147,drizzle,морось,[ˈdrɪz.əl],[ˈdrɪz.əl]
148,realize,"реализовать, понимать, осознавать",[ˈriːəlaɪz],[ˈrɪəlaɪz]
149,woo,"ухаживать, свататься, добиваться, ууу",[wuː],[wuː]
150,chancellor,канцлер,[ˈtʃɑːn.səl.ər],[ˈtʃæn.səl.ɚ]
151,sea,"море, волнение, волна",[siː],[siː]
152,college,"колледж, коллегия, университет",[ˈkɒlɪdʒ],[ˈkɑːlɪdʒ]
153,data,"данные, информация, сведения",[ˈdeɪtə],[ˈdeɪtə]
154,insert,вставить,[ɪnˈsɜːt],[ɪnˈsɜːrt]
155,crave,"жаждать, страстно желать, требовать",[kreɪv],[kreɪv]
156,ensemble,ансамбль,[ˌɒnˈsɒm.bl̩],[ˌɑːnˈsɑːm-]
157,volume,"объем, том, громкость",[ˈvɒljuːm],[ˈvɑːljuːm]
158,awareness,"осознание, осведомленность",[əˈweə.nəs],[-ˈwer-]
159,letter,"письмо, буква, символ",[ˈletə(r)],[ˈletər]
160,guard,охранять,[ɡɑːd],[ɡɑːrd]
161,blunt,"тупой, грубый, прямой",[blʌnt],[blʌnt]
162,remedy,"средство, лекарство, средство судебной защиты",[ˈrem.ə.di],[ˈrem.ə.di]
163,sparse,редкий,[spɑːs],[spɑːrs]
164,completely,"полностью, совершенно, вполне",[kəmˈpliːtli],[kəmˈpliːtli]
165,saving,"экономия, сбережения, спасение",[ˈseɪvɪŋ],[ˈseɪvɪŋ]
166,handle,справиться,[ˈhændl],[ˈhændl]
167,hedge,"изгородь, преграда, живая изгородь",[hedʒ],[hedʒ]
168,electric,электрический,[ɪˈlektrɪk],[ɪˈlektrɪk]
169,narrative,"повествование, рассказ, повесть",[ˈnær.ə.tɪv],[-t̬ɪv]
170,empower,"уполномочивать, давать возможность, разрешать",[ɪmˈpaʊər],[-ˈpaʊr]
171,donkey,осел,[ˈdɒŋ.ki],[ˈdɑːŋ-]
172,straw,"солома, соломинка, соломка",[strɔː],[strɑː]
173,kid,"ребенок, малыш, парень, дитя",[kɪd],[kɪd]
174,jet,струя,[dʒet],[dʒet]
175,deplete,истощать,[dɪˈpliːt],[dɪˈpliːt]
176,timid,робкий,[ˈtɪm.ɪd],[ˈtɪm.ɪd]
177,generally,в общем-то,[ˈdʒenrəli],[ˈdʒenrəli]
178,ballot,"голосование, избирательный бюллетень, баллотировка, бюллетень",[ˈbæl.ət],[ˈbæl.ət]
179,process,процесс,[ˈprəʊses],[ˈprɑːses]
180,conceive,зачать,[kənˈsiːv],[kənˈsiːv]
181,artificial,искусственный,[ˌɑːtɪˈfɪʃl],[ˌɑːrtɪˈfɪʃl]
182,participant,"участник, участвующий",[pɑːˈtɪs.ɪ.pənt],[pɑːrˈtɪs.ə-]
183,bash,"колотить, бить, сильно ударять, трепать",[bæʃ],[bæʃ]
184,thug,"бандит, головорез, убийца",[θʌɡ],[θʌɡ]
185,drug,"лекарство, наркотик, медикамент, препарат, средство, медикамент",[drʌɡ],[drʌɡ]
186,therapy,"терапия, лечение",[ˈθer.ə.pi],[ˈθer.ə.pi]
187,varnish,лак,[ˈvɑː.nɪʃ],[ˈvɑːr-]
188,low,низкий,[ləʊ],[loʊ]
189,please,пожалуйста,[pliːz],[pliːz]
190,exert,"вызывать, влиять, прилагать усилия, прикладывать",[ɪɡˈzɜːt],[-ˈzɝːt]
191,disaster,"бедствие, несчастье, катастрофа",[dɪˈzɑːstə(r)],[dɪˈzæstər]
192,palace,дворец,[ˈpæləs],[ˈpæləs]
193,drill,дрель,[drɪl],[drɪl]
194,delicate,нежный,[ˈdelɪkət],[ˈdelɪkət]
195,await,"ждать, ожидать, предстоять, Ждите",[əˈweɪt],[əˈweɪt]
196,goat,"козел, коза, осел",[ɡəʊt],[ɡoʊt]
197,hour,час,[ˈaʊə(r)],[ˈaʊər]
198,graze,пастись,[ɡreɪz],[ɡreɪz]
199,shooting,стрельба,[ˈʃuːtɪŋ],[ˈʃuːtɪŋ]
200,tray,лоток,[treɪ],[treɪ]
201,Irish,"ирландский, ирландцы, ирландский язык, Ирландский",[ˈaɪə.rɪʃ],[ˈaɪə.rɪʃ]
202,occupation,"оккупация, занятие, род занятий, Занятие",[ˌɒk.jʊˈpeɪ.ʃən],[ˌɑː.kjə-]
203,distribute,раздавать,[dɪˈstrɪbjuːt],[dɪˈstrɪbjuːt]
204,assassin,убийца,[əˈsæs.ɪn],[əˈsæs.ɪn]
205,knowledge,"знания, знание, познания",[ˈnɒlɪdʒ],[ˈnɑːlɪdʒ]
206,ludicrous,смехотворен,[ˈluː.dɪ.krəs],[ˈluː.dɪ.krəs]
207,nest,"гнездо, гнездышко, уютный уголок",[nest],[nest]
208,Mrs,"миссис, госпожа, хозяйка дома, Г-жа",[ˈmɪsɪz],[ˈmɪsɪz]
209,cash,наличные,[kæʃ],[kæʃ]
210,earring,серьга,[ˈɪə.rɪŋ],[ˈɪr.ɪŋ]
211,vacation,"отпуск, каникулы, освобождение",[vəˈkeɪʃn],[vəˈkeɪʃn]
212,opponent,"оппонент, противник, враг",[əˈpəʊnənt],[əˈpoʊnənt]
213,exhibition,выставка,[ˌeksɪˈbɪʃn],[ˌeksɪˈbɪʃn]
214,consume,потреблять,[kənˈsjuːm],[-ˈsuːm]
215,Jew,"еврей, иудей, Еврей",[dʒuː],[dʒuː]
216,plain,простой,[pleɪn],[pleɪn]
217,intention,намерение,[ɪnˈtenʃn],[ɪnˈtenʃn]
218,plant,"завод, растение, установка",[plɑːnt],[plænt]
219,accessory,"аксессуар, принадлежность, соучастник",[əkˈses.ər.i],[-ɚ-]
220,peasant,крестьянин,[ˈpez.ənt],[ˈpez.ənt]
221,consensus,консенсус,[kənˈsen.səs],[kənˈsen.səs]
222,figure,фигура,[ˈfɪɡə(r)],[ˈfɪɡjər]
223,shabby,потрепанный,[ˈʃæb.i],[ˈʃæb.i]
224,homicide,"убийство, убийца, убивать",[ˈhɒm.ɪ.saɪd],[ˈhɑː.mə-]
225,priest,священник,[priːst],[priːst]
226,strand,"прядь, берег, стренга",[strænd],[strænd]
227,syllable,слог,[ˈsɪl.ə.bl̩],[ˈsɪl.ə.bl̩]
228,central,центральный,[ˈsentrəl],[ˈsentrəl]
229,decay,распад,[dɪˈkeɪ],[dɪˈkeɪ]
230,amateur,"любитель, дилетант, спортсмен-любитель",[ˈæm.ə.tər],[-tʃɚ]
231,creepy,"пресмыкающийся, ползучий, бросающий в дрожь, жутко",[ˈkriː.pi],[ˈkriː.pi]
232,assign,"назначать, присваивать, приписывать",[əˈsaɪn],[əˈsaɪn]
233,explore,"исследовать, изучать, обследовать",[ɪkˈsplɔː(r)],[ɪkˈsplɔːr]
234,dissipate,рассеиваться,[ˈdɪs.ɪ.peɪt],[ˈdɪs.ɪ.peɪt]
235,soar,парить,[sɔːr],[sɔːr]
236,fit,поместиться,[fɪt],[fɪt]
237,objective,задача,[əbˈdʒektɪv],[əbˈdʒektɪv]
238,affect,влиять,[əˈfekt],[əˈfekt]
239,mound,"курган, насыпь, холм",[maʊnd],[maʊnd]
240,affirm,"утверждать, подтверждать, торжественно заявлять, подтвердить",[əˈfɜːm],[-ˈfɝːm]
241,airport,аэропорт,[ˈeəpɔːt],[ˈerpɔːrt]
242,leading,"ведущий, передовой, головной",[ˈliːdɪŋ],[ˈliːdɪŋ]
243,reference,"ссылка, справка, упоминание, Справка",[ˈrefrəns],[ˈrefrəns]
244,touch,прикоснуться,[tʌtʃ],[tʌtʃ]
245,fidelity,"верность, точность, преданность",[fɪˈdel.ə.ti],[-t̬i]
246,bit,"бит, долото, кусочек, немного",[bɪt],[bɪt]
247,independence,независимость,[ˌɪndɪˈpendəns],[ˌɪndɪˈpendəns]
248,insight,на виду,[ˈɪn.saɪt],[ˈɪn.saɪt]
249,lineage,"происхождение, родословная, построчная оплата",[ˈlɪn.i.ɪdʒ],[ˈlɪn.i.ɪdʒ]
250,suggestion,"предложение, внушение, совет",[səˈdʒestʃən],[səˈdʒestʃən]
251,fable,басня,[ˈfeɪ.bl̩],[ˈfeɪ.bl̩]
252,rotate,"вращаться, вращать, чередовать",[rəʊˈteɪt],[ˈroʊ.teɪt]
253,outlet,торговая точка,[ˈaʊt.let],[ˈaʊt.let]
254,segregate,"сегрегировать, отделять, изолировать, разделять",[ˈseɡ.rɪ.ɡeɪt],[ˈseɡ.rɪ.ɡeɪt]
255,fence,"забор, ограда, ограждение",[fens],[fens]
256,porcelain,"фарфор, фарфоровые изделия, фарфоровый",[ˈpɔː.səl.ɪn],[ˈpɔːr-]
257,drift,"дрейф, снос, тенденция",[drɪft],[drɪft]
258,bias,"смещение, предвзятость, уклон",[ˈbaɪ.əs],[ˈbaɪ.əs]
259,chuck,"зажимной патрон, цыпленок, цыпочка, чак",[tʃʌk],[tʃʌk]
260,west,"Запад, западные штаты США, запад",[west],[west]
261,tidy,"опрятный, аккуратный, чистый",[ˈtaɪdi],[ˈtaɪdi]
262,conversation,"разговор, беседа, переговоры",[ˌkɒnvəˈseɪʃn],[ˌkɑːnvərˈseɪʃn]
263,stand,стоять,[stænd],[stænd]
264,lessen,"уменьшать, уменьшаться, преуменьшать, уменьшить",[ˈles.ən],[ˈles.ən]
265,pool,"бассейн, пул, общий фонд",[puːl],[puːl]
266,pry,"подглядывать, совать нос, подсматривать",[praɪ],[praɪ]
267,speak,разговаривать,[spiːk],[spiːk]
268,stubborn,"упрямый, упорный, неподатливый",[ˈstʌb.ən],[-ɚn]
269,execute,"выполнять, исполнять, осуществлять",[ˈek.sɪ.kjuːt],[ˈek.sɪ.kjuːt]
270,certain,"определенный, некоторый, некий",[ˈsɜːtn],[ˈsɜːrtn]
271,digit,"цифра, разряд, палец",[ˈdɪdʒ.ɪt],[ˈdɪdʒ.ɪt]
272,burst,"взрыв, вспышка, разрыв",[bɜːst],[bɜːrst]
273,ever,"всегда, только, когда-либо, Когда-либо",[ˈevə(r)],[ˈevər]
274,explode,"взорваться, взрываться, взрывать",[ɪkˈspləʊd],[ɪkˈsploʊd]
275,detect,"обнаруживать, выявлять, детектировать",[dɪˈtekt],[dɪˈtekt]
276,spokesman,"представитель, оратор, делегат",[ˈspəʊks.mən],[ˈspoʊks-]
277,army,армия,[ˈɑːmi],[ˈɑːrmi]
278,fight,борьба,[faɪt],[faɪt]
279,half,"половина, тайм, часть",[hɑːf],[hæf]
280,intervention,"вмешательство, интервенция, посредничество",[ˌɪntəˈvenʃn],[ˌɪntərˈvenʃn]
281,hardware,оборудование,[ˈhɑːd.weər],[ˈhɑːrd.wer]
282,gutter,желоб,[ˈɡʌt.ər],[ˈɡʌt̬.ɚ]
283,dirty,грязный,[ˈdɜːti],[ˈdɜːrti]
284,fat,жир,[fæt],[fæt]
285,pressure,"давление, напряжение, напор",[ˈpreʃə(r)],[ˈpreʃər]
286,screen,экран,[skriːn],[skriːn]
287,protein,"белок, протеин",[ˈprəʊ.tiːn],[ˈproʊ-]
288,rationale,"логическое обоснование, подоплека, разумное объяснение, обоснование",[ˌræʃ.əˈnɑːl],[-ˈnæl]
289,pale,бледный,[peɪl],[peɪl]
290,bargain,"торговаться, заключать сделку, сделка",[ˈbɑːɡən],[ˈbɑːrɡən]
291,staff,сотрудники,[stɑːf],[stæf]
292,liaison,"связь, связь взаимодействия, любовная связь",[liˈeɪ.zɒn],[-zɑːn]
293,assert,утверждать,[əˈsɜːt],[-ˈsɝːt]
294,absorb,"поглощать, абсорбировать, впитывать",[əbˈsɔːb],[əbˈsɔːrb]
295,permit,"разрешение, пропуск, путевка, разрешать",[ˈpɜːmɪt],[ˈpɜːrmɪt]
296,academic,академический,[ˌækəˈdemɪk],[ˌækəˈdemɪk]
297,popular,"популярный, народный, общедоступный",[ˈpɒpjələ(r)],[ˈpɑːpjələr]
298,column,"столбец, колонка, колонна",[ˈkɒləm],[ˈkɑːləm]
299,clergy,"духовенство, священники, клир",[ˈklɜː.dʒi],[ˈklɝː-]
300,rubble,"бут, валун, булыжник, щебень",[ˈrʌb.l̩],[ˈrʌb.l̩]
301,precisely,точно,[prɪˈsaɪsli],[prɪˈsaɪsli]
302,arrival,"прибытие, приход, приезд",[əˈraɪvl],[əˈraɪvl]
303,shot,выстрел,[ʃɒt],[ʃɑːt]
304,marketing,"маркетинг, сбыт, торговля",[ˈmɑːkɪtɪŋ],[ˈmɑːrkɪtɪŋ]
305,hungry,голоден,[ˈhʌŋɡri],[ˈhʌŋɡri]
306,scratch,"царапина, скрип, ссадина",[skrætʃ],[skrætʃ]
307,poison,"яд, отрава, отравлять",[ˈpɔɪzn],[ˈpɔɪzn]
308,formation,"образование, формирование, создание",[fɔːˈmeɪ.ʃən],[fɔːr-]
309,cup,"чашка, кубок, чаша",[kʌp],[kʌp]
310,PM,ВЕЧЕРА,[ˌpiːˈem],[ˌpiːˈem]
311,murmur,бормотать,[ˈmɜː.mər],[ˈmɝː.mɚ]
312,collar,воротник,[ˈkɒl.ər],[ˈkɑː.lɚ]
313,wonder,"чудо, удивление, изумление, задаваться вопросом",[ˈwʌndə(r)],[ˈwʌndər]
314,Congress,"Конгресс США, Конгресс",[ˈkɒŋɡres],[ˈkɑːŋɡrəs]
315,roadway,проезжая часть,[ˈrəʊd.weɪ],[ˈroʊd-]
316,excess,избыток,[ɪkˈses],[ˈek.ses]
317,lead,вести,[liːd],[liːd]
318,excuse,"оправдание, предлог, отговорка, извинение",[ɪkˈskjuːs],[ɪkˈskjuːs]
319,fraction,"фракция, доля, часть, дробная часть",[ˈfræk.ʃən],[ˈfræk.ʃən]
320,leaf,лист,[liːf],[liːf]
321,duplicate,дублировать,[ˈdjuː.plɪ.keɪt],[ˈduː-]
322,glitter,блеск,[ˈɡlɪt.ər],[ˈɡlɪt̬.ɚ]
323,hence,"следовательно, отсюда, с этих пор",[hens],[hens]
324,inflame,воспалять,[ɪnˈfleɪm],[ɪnˈfleɪm]
325,citizen,"гражданин, гражданка, горожанин",[ˈsɪtɪzn],[ˈsɪtɪzn]
326,useful,"полезный, пригодный, способный",[ˈjuːsfl],[ˈjuːsfl]
327,lawyer,юрист,[ˈlɔːjə(r)],[ˈlɔːjər]
328,grunt,ворчать,[ɡrʌnt],[ɡrʌnt]
329,voyage,путешествие,[ˈvɔɪ.ɪdʒ],[ˈvɔɪ.ɪdʒ]
330,harass,беспокоить,[ˈhær.əs],[ˈhær.əs]
331,dock,док,[dɒk],[dɑːk]
332,scrap,лом,[skræp],[skræp]
333,end,конец,[end],[end]
334,university,"университет, университетская спортивная команда, университетский, Университет",[ˌjuːnɪˈvɜːsəti],[ˌjuːnɪˈvɜːrsəti]
335,awhile,"на некоторое время, ненадолго, какое-то время",[əˈwaɪl],[əˈwaɪl]
336,bluff,блефовать,[blʌf],[blʌf]
337,grab,схватить,[ɡræb],[ɡræb]
338,struggle,"борьба, усилие, напряжение",[ˈstrʌɡl],[ˈstrʌɡl]
339,destination,"пункт назначения, назначение, место назначения",[ˌdes.tɪˈneɪ.ʃən],[ˌdes.tɪˈneɪ.ʃən]
340,user,"пользователь, потребитель, наркоман",[ˈjuːzə(r)],[ˈjuːzər]
341,throughout,на протяжении,[θruːˈaʊt],[θruːˈaʊt]
342,bank,банка,[bæŋk],[bæŋk]
343,anew,"заново, снова, по-новому",[əˈnjuː],[-ˈnuː]
344,football,"футбол, футбольный мяч, актуальная проблема",[ˈfʊtbɔːl],[ˈfʊtbɔːl]
345,ambiguous,двусмысленный,[æmˈbɪɡ.ju.əs],[æmˈbɪɡ.ju.əs]
346,shatter,"поколебать, разрушать, раздробить, разбить",[ˈʃæt.ər],[ˈʃæt̬.ɚ]
347,reduce,уменьшить,[rɪˈdjuːs],[rɪˈduːs]
348,sewage,сточные воды,[ˈsuː.ɪdʒ],[ˈsuː.ɪdʒ]
349,initiative,"инициатива, почин, право законодательной инициативы",[ɪˈnɪʃətɪv],[ɪˈnɪʃətɪv]
350,investor,"вкладчик, инвестор",[ɪnˈves.tər],[-t̬ɚ]
351,inferior,"низший, нижний, худший",[ɪnˈfɪə.ri.ər],[-ˈfɪr.i.ɚ]
352,port,"порт, отверстие, портвейн",[pɔːt],[pɔːrt]
353,warm,"теплый, горячий, жаркий",[wɔːm],[wɔːrm]
354,equally,"одинаково, в равной степени, поровну, на равных",[ˈiːkwəli],[ˈiːkwəli]
355,pour,"полить, лить, наливать, налить",[pɔː(r)],[pɔːr]
356,action,"действие, акция, деятельность",[ˈækʃn],[ˈækʃn]
357,slowly,медленно,[ˈsləʊli],[ˈsloʊli]
358,daily,ежедневно,[ˈdeɪli],[ˈdeɪli]
359,deserve,"заслуживать, быть достойным, стоить, заслужить",[dɪˈzɜːv],[dɪˈzɜːrv]
360,ripe,спелый,[raɪp],[raɪp]
361,irritate,раздражать,[ˈɪrɪteɪt],[ˈɪrɪteɪt]
362,river,"река, поток, речной",[ˈrɪvə(r)],[ˈrɪvər]
363,dim,тусклый,[dɪm],[dɪm]
364,perplex,недоумение,[pəˈpleks],[pɚ-]
